ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Wine,Canada - BC,Canada - BC White Wine,CANADA,834267,JACKSON TRIGGS - RESERVE RIESLING GEWURZTRAMINER 2014,63657033661,0.75,1,12.5,11.99,1
Wine,Italy Wine,Italy Red Wine,ITALY,852749,CHIANTI CLASSICO RISERVA - CASTELLO DI MONSANTO 2012,8033237490285,3,1,14,199.99,0
Wine,France Wine,France White Wine,FRANCE,853523,CHATEAU SUDUIRAUT 2001,626990242574,0.75,1,12.5,329.99,10
Wine,France Wine,France Red Wine,FRANCE,865154,VACQUEYRAS - ROMAIN DUVERNAY 10/11,3760184620377,0.75,1,14.5,26.99,0
Wine,Italy Wine,Italy White Wine,ITALY,87932,SICILIA PINOT GRIGIO - CASAL THAULERO,8001713000228,0.75,1,13,12.99,1
Wine,Italy Wine,Italy White Wine,ITALY,882209,COLLI DE LUNI VERMENTINO - LUNAE BOSONI 14/15,836952005042,0.75,1,12.5,23.49,1
Wine,France Wine,France Sparkling Wine,FRANCE,887869,PINON - VOUVRAY BRUT,3490890028845,0.75,1,13,23.49,1
Wine,Portugal Wine,Portugal White Wine,PORTUGAL,890590,DOURO BRANCO - CONCEITO 2013,5600318880469,0.75,1,13,52.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,894840,CEDARCREEK - MERLOT PLATINUM DESERT RIDGE 2012,778913800276,0.75,1,14.5,37.99,0
Wine,Italy Wine,Italy Red Wine,ITALY,89847,LANGHE NEBBIOLO - GAJA SPERSS 05,8032636147165,0.75,1,14.5,239.99,0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,CANADA,904375,MOLSON - CANADIAN,56327072565,0.341,18,5,29.79,NA
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,CANADA,905844,MOLSON - CANADIAN CAN,56327073241,0.355,24,5,31.99,NA
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,660118,MALBEC - CATENA ZAPATA ARGENTINO 09,7794450092076,0.75,1,14,120.99,0
Beer,Import Beer,Europe Beer,GERMANY,28886,ERDINGER FOOTBALL PACK,4002103271550,0.5,5,5.3,19.99,NA
Wine,France Wine,France Champagne Wine,FRANCE,462432,PIPER HEIDSIECK - BRUT,3018334100003,0.75,1,12,57.99,0
Beer,Import Beer,USA Beer,UNITED STATES OF AMERICA,29819,DESCHUTES - CHAINBREAKER WHITE IPA,763176120018,0.355,6,5.6,15.79,NA
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,218586,PINOT NOIR - KISTLER RUSSIAN RIVER 2013,626990069447,0.75,1,14.5,85.99,0
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,110510,CABERNET SAUVIGNON - ABERDEEN ANGUS THE BULL 11/13,871971000029,0.75,1,14,19.99,0
Wine,South Africa Wine,South Africa White Wine,SOUTH AFRICA,140525,PINOT GRIGIO - NEDERBURG,6001108055675,0.75,1,13,11.49,0
Wine,Italy Wine,Italy White Wine,ITALY,144790,CAMPANIA FALANGHINA - TERREDORA,8026008090203,0.75,1,13,19.49,0
Wine,Italy Wine,Italy Red Wine,ITALY,148668,CASTEL DEL MONTE - TORMARESCA BOCCA DI LUPO,8026530000091,0.75,1,13.5,41.99,0
Wine,Canada - BC,Canada - BC Rose Wine,CANADA,163634,COPPER MOON - ROSE,48162013346,0.75,1,12.5,8.79,2
Wine,France Wine,France White Wine,FRANCE,170621,CHARDONNAY - KRESSMANN SELECTION,3258691404622,1.5,1,12.5,18.49,0
Wine,Italy Wine,Italy Red Wine,ITALY,178541,BAROLO - BATASIOLO,632738100013,0.75,1,13.5,33.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,192732,CRAGGANMORE - 12 YEAR OLD SPEYSIDE,622153608041,0.75,1,40,78.99,NA
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,201897,PHILLIPS - HOP CIRCLE IPA,626990036296,0.341,6,6.5,11.79,NA
Spirits,Vodka,Straight Vodka,FINLAND,208629,FINLANDIA,6412700021140,1.14,1,40,33.99,NA
Wine,Canada - BC,Canada - BC Red Wine,CANADA,22244,JACKSON TRIGGS PROPRIETOR'S SELECTION SHIRAZ,63657007525,0.75,1,13,8.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,230706,LAKE BREEZE - MERITAGE 2013,626990064145,0.75,1,13.7,20.49,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,238097,DALWHINNIE - 15 YEAR OLD,622153610044,0.75,1,43,87.99,NA
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,24117,NAPA VALLEY RED - DOMINUS ESTATE NAPANOOK 2011,,0.75,1,14,64.99,0
Wine,France Wine,France Red Wine,FRANCE,252478,CHATEAU COS D'ESTOURNEL 2012,3419466144017,0.75,1,13,280,0
Spirits,Other Spirits,Ready to Mix Cocktails,CANADA,271445,MARGARITA - POTTER'S,776555450705,1.14,1,38,26.99,NA
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,272633,MERITAGE - CAMERON HUGHES NAPA ATLAS PEAK LOT 318 2010,845517003188,0.75,1,13.7,19.97,0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,CANADA,282558,MOLSON - CANADIAN 67 CAN,,0.355,12,3,22.99,NA
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,291104,SHIRAZ - GEMTREE TATTY ROAD 2013,9326755000418,0.75,1,14,13.99,0
Wine,Canada - BC,Canada - BC White Wine,CANADA,306084,NAKED GRAPE - SAUVIGNON BLANC,63657014042,0.75,1,12,7.79,1
Beer,Import Beer,USA Beer,UNITED STATES OF AMERICA,307330,SAMUEL ADAMS BOSTON LAGER,87692100126,0.355,6,5,11.79,NA
Wine,Portugal Wine,Portugal White Wine,PORTUGAL,309906,MINHO BRANCO - QUINTA DO AMEAL ESCOLHA 2011,626990157557,0.75,1,11.5,30.99,0
Wine,France Wine,France Red Wine,FRANCE,31393,COTE ROTIE - DOMAINE ROSTAING COTE BLONDE 10/11,831906000555,0.75,1,13,235.99,0
Wine,Chile Wine,Chile Red Wine,CHILE,324228,CABERNET SAUVIGNON - SANTA ISABELA,63657001493,16,1,12.5,99.97,0
Wine,Italy Wine,Italy Red Wine,ITALY,344788,SALICE SALENTINO RISERVA - LEONE DE CASTRIS 08/10/11,626990000358,0.75,1,13.5,23.49,0
Wine,France Wine,France Champagne Wine,FRANCE,353326,TAITTINGER - NOCTURNE ROSE,3016570000330,0.75,1,12,89.99,2
Wine,USA Wine,USA White Wine,UNITED STATES OF AMERICA,353797,PINOT GRIGIO - FETZER VALLEY OAKS,82896061471,0.75,1,13.5,12.49,0
Beer,Import Beer,Europe Beer,BELGIUM,357244,CHIMAY RED CAP,81706000013,0.33,1,7,4.59,NA
Wine,Canada - BC,Canada - BC Red Wine,CANADA,361048,PELLER ESTATES - PROPRIETORS RESERVE SHIRAZ,48162010178,1.5,1,13,14.99,0
Wine,Spain Wine,Spain Rose Wine,SPAIN,361188,RIOJA ROSADO - MARQUES DE CACERES,8410406611007,0.75,1,12.5,14.99,0
Spirits,Other Spirits,Ready to Serve Cocktails,CANADA,381723,PANAMA JACK'S COCKTAILS -  LONG ISLAND ICED TEA,48162013964,0.75,1,12,13.99,10
Wine,France Wine,France White Wine,FRANCE,38273,RIESLING - TRIMBACH CLOS STE HUNE 2006,831906001408,0.75,1,13,224.99,0
Wine,Canada - BC,Canada - BC White Wine,CANADA,38349,PELLER ESTATES - PROPRIETORS RESERVE CHARDONNAY,48162008526,1.5,1,12,12.49,0
Wine,Australia Wine,Australia White Wine,AUSTRALIA,400267,MOSCATO - JACOB'S CREEK,9300727010957,0.75,1,8.3,11.99,7
Wine,Italy Wine,Italy Red Wine,ITALY,40097,BRUNELLO DI MONTALCINO - GAJA PIEVE S RESTITUTA 2010,626990103899,0.75,1,15,80.99,0
